gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,K'Sante,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,4.0,5.0,4.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,0.4306,0.8611,0.0,1.0,21.0,7.0,9.0,59.0,13746.0,8638.0,218.7759,12875.0,300.0,296.0,4.0,7.5981,4367.0,5672.0,97.0,3020.0,4312.0,70.0,1347.0,1360.0,27.0,2.0,0.0,0.0,0.0,0.0,2.0,6493.0,10191.0,153.0,4567.0,6986.0,118.0,1926.0,3205.0,35.0,3.0,0.0,0.0,0.0,0.0,3.0,8005.0,13112.0,193.0,6890.0,11125.0,181.0,1115.0,1987.0,12.0,3.0,0.0,0.0,0.0,0.0,3.0,9942.0,16205.0,231.0,9060.0,14702.0,235.0,882.0,1503.0,-4.0,4.0,1.0,0.0,0.0,1.0,3.0
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Van,Fukuoka SoftBank HAWKS gaming,1.0,Jayce,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,3.0,1.0,10.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,0.4306,0.8611,1.0,0.0,17.0,27.0,10.0,89.0,18312.0,13204.0,334.4196,17150.0,287.0,54.0,233.0,7.2689,3651.0,3901.0,73.0,3488.0,3911.0,78.0,163.0,-10.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,6183.0,6954.0,125.0,5018.0,6139.0,114.0,1165.0,815.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,8579.0,9381.0,165.0,6308.0,7694.0,137.0,2271.0,1687.0,28.0,1.0,3.0,0.0,0.0,0.0,2.0,10875.0,12341.0,202.0,8298.0,9937.0,162.0,2577.0,2404.0,40.0,1.0,7.0,0.0,1.0,0.0,3.0
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Anivia,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,0.0,4.0,7.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4306,0.8611,0.0,0.0,22.0,8.0,9.0,51.0,14111.0,9003.0,228.0203,16060.0,327.0,322.0,5.0,8.282,3603.0,5250.0,96.0,3440.0,4971.0,95.0,163.0,279.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5522.0,8526.0,159.0,5119.0,7693.0,146.0,403.0,833.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8125.0,11281.0,214.0,7008.0,10367.0,200.0,1117.0,914.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,9840.0,15225.0,253.0,8787.0,12910.0,252.0,1053.0,2315.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,Marble,Fukuoka SoftBank HAWKS gaming,1.0,Aphelios,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,10.0,3.0,1.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,0.4306,0.8611,0.0,0.0,16.0,10.0,5.0,40.0,20542.0,15434.0,390.8991,19625.0,372.0,368.0,4.0,9.4217,3171.0,3084.0,80.0,3895.0,3311.0,94.0,-724.0,-227.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,5077.0,5027.0,128.0,6238.0,5566.0,153.0,-1161.0,-539.0,-25.0,0.0,1.0,0.0,0.0,0.0,1.0,8344.0,7680.0,188.0,8711.0,8403.0,219.0,-367.0,-723.0,-31.0,2.0,1.0,0.0,0.0,0.0,1.0,12138.0,10038.0,241.0,10618.0,10461.0,267.0,1520.0,-423.0,-26.0,5.0,1.0,0.0,0.0,1.0,2.0
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,sup,Vsta,Fukuoka SoftBank HAWKS gaming,1.0,Thresh,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,0.0,4.0,11.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4306,0.8611,0.0,0.0,78.0,10.0,12.0,137.0,9472.0,4364.0,110.5276,8735.0,32.0,32.0,0.0,0.8105,2207.0,2451.0,16.0,2187.0,3088.0,18.0,20.0,-637.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3352.0,3913.0,23.0,3346.0,4311.0,26.0,6.0,-398.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,4690.0,5421.0,25.0,4541.0,5235.0,33.0,149.0,186.0,-8.0,0.0,3.0,0.0,0.0,0.0,0.0,5999.0,7426.0,25.0,5618.0,6660.0,35.0,381.0,766.0,-10.0,0.0,5.0,0.0,0.0,0.0,1.0
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,team,,Fukuoka SoftBank HAWKS gaming,1.0,,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,17.0,17.0,33.0,17.0,17.0,1.0,0.0,0.0,0.0,1.0,0.4306,0.8611,1.0,1.0,154.0,62.0,45.0,376.0,76183.0,50641.0,1282.5918,74445.0,,1072.0,246.0,33.3812,16999.0,20358.0,362.0,16030.0,19593.0,355.0,969.0,765.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,26627.0,34611.0,588.0,24288.0,30695.0,557.0,2339.0,3916.0,31.0,4.0,3.0,0.0,0.0,0.0,4.0,37743.0,46875.0,785.0,33458.0,42824.0,770.0,4285.0,4051.0,15.0,6.0,8.0,0.0,0.0,0.0,6.0,48794.0,61235.0,952.0,42381.0,54670.0,951.0,6413.0,6565.0,1.0,10.0,17.0,1.0,1.0,3.0,10.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Red,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,Ornn,Ambessa,Sylas,Azir,Alistar,Neeko,2302.0,0.0,1.0,7.0,6.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2867,0.8341,0.0,0.0,20.0,7.0,7.0,63.0,11294.0,6322.0,164.7785,11010.0,233.0,233.0,0.0,6.073,3166.0,5074.0,85.0,3606.0,5162.0,91.0,-440.0,-88.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4509.0,7856.0,123.0,5146.0,8677.0,136.0,-637.0,-821.0,-13.0,0.0,0.0,1.0,0.0,0.0,0.0,6345.0,10705.0,166.0,7203.0,11367.0,182.0,-858.0,-662.0,-16.0,0.0,1.0,2.0,1.0,0.0,1.0,7295.0,11803.0,184.0,8980.0,13562.0,214.0,-1685.0,-1759.0,-30.0,0.0,1.0,4.0,2.0,1.0,1.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Red,jng,Van,Fukuoka SoftBank HAWKS gaming,1.0,Aatrox,Ambessa,Sylas,Azir,Alistar,Neeko,2302.0,0.0,4.0,4.0,3.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2867,0.8341,1.0,1.0,22.0,12.0,13.0,73.0,13196.0,8224.0,214.3527,11975.0,199.0,20.0,179.0,5.1868,3510.0,4386.0,81.0,4116.0,4333.0,82.0,-606.0,53.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,4956.0,6248.0,114.0,6322.0,7626.0,140.0,-1366.0,-1378.0,-26.0,0.0,0.0,1.0,2.0,2.0,0.0,6633.0,8334.0,142.0,8976.0,10391.0,178.0,-2343.0,-2057.0,-36.0,0.0,1.0,1.0,2.0,3.0,0.0,7999.0,10487.0,165.0,10647.0,12609.0,201.0,-2648.0,-2122.0,-36.0,0.0,2.0,2.0,2.0,7.0,0.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Red,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Taliyah,Ambessa,Sylas,Azir,Alistar,Neeko,2302.0,0.0,1.0,3.0,9.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2867,0.8341,0.0,0.0,12.0,6.0,8.0,38.0,14605.0,9633.0,251.0773,14750.0,359.0,359.0,0.0,9.3571,3621.0,5031.0,99.0,3853.0,5273.0,105.0,-232.0,-242.0,-6.0,0.0,0.0,1.0,0.0,2.0,0.0,5612.0,8110.0,162.0,6490.0,7869.0,159.0,-878.0,241.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,7619.0,11095.0,215.0,9843.0,11091.0,224.0,-2224.0,4.0,-9.0,0.0,2.0,1.0,2.0,3.0,0.0,9232.0,13457.0,260.0,12532.0,14174.0,276.0,-3300.0,-717.0,-16.0,0.0,3.0,1.0,4.0,5.0,0.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Red,bot,Marble,Fukuoka SoftBank HAWKS gaming,1.0,Sivir,Ambessa,Sylas,Azir,Alistar,Neeko,2302.0,0.0,4.0,3.0,6.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2867,0.8341,0.0,0.0,21.0,19.0,9.0,68.0,19847.0,14875.0,387.7063,18975.0,429.0,405.0,24.0,11.1816,3395.0,3975.0,94.0,3957.0,4488.0,101.0,-562.0,-513.0,-7.0,0.0,0.0,0.0,1.0,1.0,0.0,5878.0,6578.0,158.0,6941.0,7823.0,161.0,-1063.0,-1245.0,-3.0,0.0,0.0,0.0,2.0,1.0,0.0,8851.0,9452.0,215.0,9240.0,10216.0,208.0,-389.0,-764.0,7.0,1.0,0.0,0.0,2.0,1.0,1.0,11594.0,12211.0,284.0,11853.0,13606.0,281.0,-259.0,-1395.0,3.0,2.0,0.0,1.0,3.0,2.0,2.0
