gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Blue,top,Kaylem,The Secret Club,1.0,Rumble,Malphite,Naafiri,Ambessa,Braum,Alistar,1494.0,0.0,2.0,3.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2008,1.2048,0.0,0.0,10.0,1.0,0.0,24.0,10461.0,7138.0,286.6667,9900.0,242.0,242.0,0.0,9.7189,3509.0,4982.0,93.0,3262.0,5162.0,88.0,247.0,-180.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6055.0,8846.0,139.0,5215.0,8498.0,132.0,840.0,348.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,8741.0,13010.0,195.0,6782.0,10474.0,168.0,1959.0,2536.0,27.0,2.0,0.0,2.0,1.0,1.0,3.0,10461.0,15697.0,242.0,8734.0,14394.0,201.0,1727.0,1303.0,41.0,2.0,0.0,3.0,1.0,4.0,3.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Blue,jng,Ronaldo,The Secret Club,1.0,Viego,Malphite,Naafiri,Ambessa,Braum,Alistar,1494.0,0.0,3.0,7.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2008,1.2048,0.0,1.0,1.0,7.0,3.0,25.0,9764.0,6441.0,258.6747,9475.0,200.0,28.0,172.0,8.0321,3740.0,3966.0,74.0,4117.0,4656.0,82.0,-377.0,-690.0,-8.0,1.0,0.0,2.0,1.0,3.0,0.0,5513.0,6185.0,109.0,7205.0,7838.0,126.0,-1692.0,-1653.0,-17.0,2.0,0.0,4.0,6.0,6.0,0.0,7913.0,8979.0,154.0,9417.0,10624.0,164.0,-1504.0,-1645.0,-10.0,3.0,0.0,5.0,6.0,9.0,0.0,9764.0,11739.0,200.0,11955.0,13692.0,185.0,-2191.0,-1953.0,15.0,3.0,0.0,7.0,8.0,13.0,0.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Blue,mid,Sintax,The Secret Club,1.0,Corki,Malphite,Naafiri,Ambessa,Braum,Alistar,1494.0,0.0,0.0,2.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2008,1.2048,0.0,0.0,8.0,1.0,0.0,15.0,7571.0,4248.0,170.6024,7183.0,168.0,168.0,0.0,6.747,2792.0,3765.0,54.0,4647.0,5074.0,103.0,-1855.0,-1309.0,-49.0,0.0,0.0,0.0,2.0,0.0,0.0,4710.0,6119.0,97.0,8358.0,8790.0,168.0,-3648.0,-2671.0,-71.0,0.0,0.0,0.0,4.0,1.0,0.0,6185.0,8351.0,136.0,12021.0,12732.0,249.0,-5836.0,-4381.0,-113.0,0.0,0.0,0.0,5.0,4.0,0.0,7571.0,10260.0,168.0,15448.0,15858.0,290.0,-7877.0,-5598.0,-122.0,0.0,0.0,2.0,7.0,8.0,0.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Blue,bot,Mihai,The Secret Club,1.0,Varus,Malphite,Naafiri,Ambessa,Braum,Alistar,1494.0,0.0,0.0,6.0,3.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2008,1.2048,0.0,0.0,10.0,0.0,1.0,15.0,9407.0,6084.0,244.3373,8525.0,229.0,229.0,0.0,9.1968,3560.0,4035.0,95.0,3974.0,3828.0,83.0,-414.0,207.0,12.0,0.0,1.0,1.0,1.0,2.0,1.0,5451.0,5641.0,134.0,6912.0,5912.0,120.0,-1461.0,-271.0,14.0,0.0,2.0,4.0,2.0,5.0,2.0,7773.0,8258.0,188.0,10328.0,9091.0,174.0,-2555.0,-833.0,14.0,0.0,3.0,5.0,5.0,5.0,2.0,9407.0,10391.0,229.0,14229.0,12672.0,226.0,-4822.0,-2281.0,3.0,0.0,3.0,6.0,8.0,7.0,2.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Blue,sup,ZaFiR,The Secret Club,1.0,Nautilus,Malphite,Naafiri,Ambessa,Braum,Alistar,1494.0,0.0,0.0,7.0,3.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2008,1.2048,0.0,0.0,31.0,9.0,4.0,71.0,5773.0,2450.0,98.3936,5630.0,29.0,29.0,0.0,1.1647,2417.0,2194.0,13.0,2812.0,2751.0,17.0,-395.0,-557.0,-4.0,0.0,1.0,2.0,1.0,4.0,0.0,3589.0,3405.0,23.0,4289.0,4149.0,22.0,-700.0,-744.0,1.0,0.0,2.0,5.0,1.0,10.0,0.0,4799.0,5175.0,26.0,6052.0,5922.0,24.0,-1253.0,-747.0,2.0,0.0,3.0,6.0,1.0,14.0,0.0,5773.0,6493.0,29.0,7900.0,8957.0,27.0,-2127.0,-2464.0,2.0,0.0,3.0,7.0,1.0,20.0,0.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Red,top,Bala,Lenovo Legion Honvéd,0.0,Sion,Jayce,Ryze,Galio,Viktor,Taliyah,1494.0,1.0,1.0,3.0,4.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,1.004,1.2048,0.0,0.0,9.0,2.0,5.0,34.0,8734.0,5411.0,217.3092,8150.0,201.0,201.0,0.0,8.0723,3262.0,5162.0,88.0,3509.0,4982.0,93.0,-247.0,180.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5215.0,8498.0,132.0,6055.0,8846.0,139.0,-840.0,-348.0,-7.0,1.0,1.0,1.0,1.0,0.0,1.0,6782.0,10474.0,168.0,8741.0,13010.0,195.0,-1959.0,-2536.0,-27.0,1.0,1.0,3.0,2.0,0.0,2.0,8734.0,14394.0,201.0,10461.0,15697.0,242.0,-1727.0,-1303.0,-41.0,1.0,4.0,3.0,2.0,0.0,3.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Red,jng,Blueboar,Lenovo Legion Honvéd,0.0,Jarvan IV,Jayce,Ryze,Galio,Viktor,Taliyah,1494.0,1.0,8.0,0.0,13.0,25.0,5.0,2.0,0.0,0.0,0.0,1.0,1.004,1.2048,1.0,0.0,6.0,3.0,6.0,22.0,11955.0,8632.0,346.6667,11025.0,185.0,11.0,174.0,7.4297,4117.0,4656.0,82.0,3740.0,3966.0,74.0,377.0,690.0,8.0,1.0,3.0,0.0,1.0,0.0,2.0,7205.0,7838.0,126.0,5513.0,6185.0,109.0,1692.0,1653.0,17.0,6.0,6.0,0.0,2.0,0.0,4.0,9417.0,10624.0,164.0,7913.0,8979.0,154.0,1504.0,1645.0,10.0,6.0,9.0,0.0,3.0,0.0,5.0,11955.0,13692.0,185.0,9764.0,11739.0,200.0,2191.0,1953.0,-15.0,8.0,13.0,0.0,3.0,0.0,7.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Red,mid,Lagolinas,Lenovo Legion Honvéd,0.0,Orianna,Jayce,Ryze,Galio,Viktor,Taliyah,1494.0,1.0,7.0,0.0,8.0,25.0,5.0,2.0,0.0,0.0,0.0,0.0,1.004,1.2048,0.0,0.0,8.0,6.0,3.0,34.0,15448.0,12125.0,486.9478,13725.0,290.0,282.0,8.0,11.6466,4647.0,5074.0,103.0,2792.0,3765.0,54.0,1855.0,1309.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,8358.0,8790.0,168.0,4710.0,6119.0,97.0,3648.0,2671.0,71.0,4.0,1.0,0.0,0.0,0.0,0.0,12021.0,12732.0,249.0,6185.0,8351.0,136.0,5836.0,4381.0,113.0,5.0,4.0,0.0,0.0,0.0,0.0,15448.0,15858.0,290.0,7571.0,10260.0,168.0,7877.0,5598.0,122.0,7.0,8.0,0.0,0.0,0.0,2.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Red,bot,Endless,Lenovo Legion Honvéd,0.0,Yunara,Jayce,Ryze,Galio,Viktor,Taliyah,1494.0,1.0,8.0,2.0,7.0,25.0,5.0,1.0,0.0,0.0,0.0,1.0,1.004,1.2048,0.0,0.0,7.0,3.0,0.0,17.0,14229.0,10906.0,437.992,11500.0,226.0,218.0,8.0,9.0763,3974.0,3828.0,83.0,3560.0,4035.0,95.0,414.0,-207.0,-12.0,1.0,2.0,1.0,0.0,1.0,1.0,6912.0,5912.0,120.0,5451.0,5641.0,134.0,1461.0,271.0,-14.0,2.0,5.0,2.0,0.0,2.0,4.0,10328.0,9091.0,174.0,7773.0,8258.0,188.0,2555.0,833.0,-14.0,5.0,5.0,2.0,0.0,3.0,5.0,14229.0,12672.0,226.0,9407.0,10391.0,229.0,4822.0,2281.0,-3.0,8.0,7.0,2.0,0.0,3.0,6.0
LOLTMNT05_178057,complete,LEC,2026.0,1.0,1.0,16.03,Red,sup,Passzi,Lenovo Legion Honvéd,0.0,Rell,Jayce,Ryze,Galio,Viktor,Taliyah,1494.0,1.0,1.0,0.0,20.0,25.0,5.0,0.0,0.0,0.0,0.0,1.0,1.004,1.2048,0.0,0.0,37.0,7.0,6.0,88.0,7900.0,4577.0,183.8153,6665.0,27.0,27.0,0.0,1.0843,2812.0,2751.0,17.0,2417.0,2194.0,13.0,395.0,557.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,4289.0,4149.0,22.0,3589.0,3405.0,23.0,700.0,744.0,-1.0,1.0,10.0,0.0,0.0,2.0,5.0,6052.0,5922.0,24.0,4799.0,5175.0,26.0,1253.0,747.0,-2.0,1.0,14.0,0.0,0.0,3.0,6.0,7900.0,8957.0,27.0,5773.0,6493.0,29.0,2127.0,2464.0,-2.0,1.0,20.0,0.0,0.0,3.0,7.0
