gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,top,MCKA Hellandir,Macko Academy,1.0,K'Sante,Orianna,Azir,Jarvan IV,Nautilus,Rakan,1558.0,0.0,0.0,7.0,6.0,12.0,30.0,0.0,0.0,0.0,0.0,1.0,0.4621,1.6175,0.0,0.0,12.0,0.0,1.0,21.0,7387.0,3933.0,151.4634,6975.0,155.0,155.0,0.0,5.9692,3162.0,4003.0,54.0,4242.0,4709.0,78.0,-1080.0,-706.0,-24.0,0.0,2.0,2.0,3.0,0.0,1.0,4403.0,6136.0,88.0,6941.0,8936.0,139.0,-2538.0,-2800.0,-51.0,0.0,2.0,3.0,4.0,0.0,1.0,5639.0,8992.0,118.0,9602.0,12779.0,185.0,-3963.0,-3787.0,-67.0,0.0,2.0,5.0,6.0,2.0,1.0,7086.0,11495.0,147.0,12979.0,17071.0,238.0,-5893.0,-5576.0,-91.0,0.0,6.0,7.0,7.0,3.0,1.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,jng,0ri,Macko Academy,1.0,Wukong,Orianna,Azir,Jarvan IV,Nautilus,Rakan,1558.0,0.0,4.0,9.0,6.0,12.0,30.0,1.0,0.0,0.0,0.0,1.0,0.4621,1.6175,0.0,1.0,6.0,4.0,2.0,23.0,9376.0,5922.0,228.0616,9283.0,156.0,8.0,148.0,6.0077,3716.0,2886.0,54.0,3607.0,3557.0,67.0,109.0,-671.0,-13.0,2.0,1.0,2.0,0.0,4.0,2.0,5401.0,4757.0,83.0,6189.0,6737.0,112.0,-788.0,-1980.0,-29.0,3.0,1.0,4.0,1.0,9.0,2.0,7323.0,7877.0,121.0,9848.0,9931.0,163.0,-2525.0,-2054.0,-42.0,3.0,4.0,6.0,5.0,10.0,2.0,9243.0,10769.0,155.0,12421.0,13505.0,204.0,-3178.0,-2736.0,-49.0,4.0,6.0,8.0,5.0,15.0,3.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,mid,BeWhite,Macko Academy,1.0,Ryze,Orianna,Azir,Jarvan IV,Nautilus,Rakan,1558.0,0.0,4.0,3.0,4.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4621,1.6175,0.0,0.0,10.0,1.0,2.0,20.0,10230.0,6776.0,260.9499,9500.0,210.0,210.0,0.0,8.0873,3952.0,5252.0,88.0,3904.0,4642.0,79.0,48.0,610.0,9.0,2.0,0.0,0.0,2.0,1.0,1.0,5863.0,8032.0,137.0,6180.0,7908.0,139.0,-317.0,124.0,-2.0,2.0,0.0,1.0,3.0,1.0,1.0,7837.0,10470.0,179.0,8327.0,11239.0,190.0,-490.0,-769.0,-11.0,3.0,1.0,2.0,4.0,1.0,1.0,10091.0,14269.0,209.0,10465.0,13755.0,211.0,-374.0,514.0,-2.0,4.0,4.0,2.0,7.0,3.0,2.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,bot,MCKA JmPlayz,Macko Academy,1.0,Varus,Orianna,Azir,Jarvan IV,Nautilus,Rakan,1558.0,0.0,4.0,5.0,3.0,12.0,30.0,1.0,0.0,0.0,0.0,0.0,0.4621,1.6175,0.0,0.0,10.0,1.0,2.0,16.0,12293.0,8839.0,340.3979,12300.0,223.0,223.0,0.0,8.5879,3301.0,3435.0,88.0,3404.0,3866.0,91.0,-103.0,-431.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5247.0,5079.0,125.0,7633.0,6671.0,143.0,-2386.0,-1592.0,-18.0,0.0,1.0,2.0,4.0,1.0,0.0,8358.0,7655.0,173.0,10012.0,9230.0,187.0,-1654.0,-1575.0,-14.0,2.0,1.0,3.0,4.0,4.0,2.0,12069.0,10584.0,220.0,13090.0,12184.0,221.0,-1021.0,-1600.0,-1.0,4.0,3.0,4.0,7.0,6.0,3.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,sup,MCKA Hynti,Macko Academy,1.0,Neeko,Orianna,Azir,Jarvan IV,Nautilus,Rakan,1558.0,0.0,0.0,6.0,7.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4621,1.6175,0.0,0.0,32.0,5.0,2.0,65.0,6396.0,2942.0,113.2991,5505.0,49.0,49.0,0.0,1.887,2467.0,2805.0,13.0,2350.0,2611.0,14.0,117.0,194.0,-1.0,0.0,1.0,1.0,0.0,2.0,0.0,3764.0,4527.0,32.0,3975.0,4283.0,20.0,-211.0,244.0,12.0,0.0,2.0,2.0,0.0,8.0,1.0,5089.0,6438.0,44.0,5167.0,6066.0,23.0,-78.0,372.0,21.0,0.0,5.0,3.0,0.0,10.0,2.0,6210.0,7986.0,48.0,6576.0,7872.0,27.0,-366.0,114.0,21.0,0.0,7.0,5.0,0.0,13.0,3.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,top,SkaR,4 Employed e 1 Budino,0.0,Gwen,Mel,Jayce,Sion,Braum,Ambessa,1558.0,1.0,7.0,1.0,3.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,1.1553,1.6175,0.0,0.0,9.0,2.0,0.0,21.0,13306.0,9852.0,379.4095,12700.0,244.0,224.0,20.0,9.3967,4242.0,4709.0,78.0,3162.0,4003.0,54.0,1080.0,706.0,24.0,3.0,0.0,1.0,0.0,2.0,2.0,6941.0,8936.0,139.0,4403.0,6136.0,88.0,2538.0,2800.0,51.0,4.0,0.0,1.0,0.0,2.0,3.0,9602.0,12779.0,185.0,5639.0,8992.0,118.0,3963.0,3787.0,67.0,6.0,2.0,1.0,0.0,2.0,5.0,12979.0,17071.0,238.0,7086.0,11495.0,147.0,5893.0,5576.0,91.0,7.0,3.0,1.0,0.0,6.0,7.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,jng,Ryujin,4 Employed e 1 Budino,0.0,Xin Zhao,Mel,Jayce,Sion,Braum,Ambessa,1558.0,1.0,5.0,3.0,18.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,1.1553,1.6175,1.0,0.0,7.0,10.0,5.0,43.0,13205.0,9751.0,375.5199,11425.0,213.0,41.0,172.0,8.2028,3607.0,3557.0,67.0,3716.0,2886.0,54.0,-109.0,671.0,13.0,0.0,4.0,2.0,2.0,1.0,2.0,6189.0,6737.0,112.0,5401.0,4757.0,83.0,788.0,1980.0,29.0,1.0,9.0,2.0,3.0,1.0,4.0,9848.0,9931.0,163.0,7323.0,7877.0,121.0,2525.0,2054.0,42.0,5.0,10.0,2.0,3.0,4.0,6.0,12421.0,13505.0,204.0,9243.0,10769.0,155.0,3178.0,2736.0,49.0,5.0,15.0,3.0,4.0,6.0,8.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,mid,Budino,4 Employed e 1 Budino,0.0,Akali,Mel,Jayce,Sion,Braum,Ambessa,1558.0,1.0,10.0,2.0,3.0,30.0,12.0,2.0,1.0,0.0,0.0,0.0,1.1553,1.6175,0.0,0.0,5.0,3.0,0.0,14.0,11730.0,8276.0,318.7163,9900.0,215.0,215.0,0.0,8.2798,3904.0,4642.0,79.0,3952.0,5252.0,88.0,-48.0,-610.0,-9.0,2.0,1.0,1.0,2.0,0.0,0.0,6180.0,7908.0,139.0,5863.0,8032.0,137.0,317.0,-124.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,8327.0,11239.0,190.0,7837.0,10470.0,179.0,490.0,769.0,11.0,4.0,1.0,1.0,3.0,1.0,2.0,10465.0,13755.0,211.0,10091.0,14269.0,209.0,374.0,-514.0,2.0,7.0,3.0,2.0,4.0,4.0,2.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,bot,xHikama,4 Employed e 1 Budino,0.0,Sivir,Mel,Jayce,Sion,Braum,Ambessa,1558.0,1.0,8.0,3.0,9.0,30.0,12.0,2.0,1.0,0.0,0.0,0.0,1.1553,1.6175,0.0,0.0,8.0,3.0,2.0,28.0,14398.0,10944.0,421.4634,12400.0,239.0,235.0,4.0,9.2041,3404.0,3866.0,91.0,3301.0,3435.0,88.0,103.0,431.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7633.0,6671.0,143.0,5247.0,5079.0,125.0,2386.0,1592.0,18.0,4.0,1.0,0.0,0.0,1.0,2.0,10012.0,9230.0,187.0,8358.0,7655.0,173.0,1654.0,1575.0,14.0,4.0,4.0,2.0,2.0,1.0,3.0,13090.0,12184.0,221.0,12069.0,10584.0,220.0,1021.0,1600.0,1.0,7.0,6.0,3.0,4.0,3.0,4.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,sup,CloudStrikee,4 Employed e 1 Budino,0.0,Leona,Mel,Jayce,Sion,Braum,Ambessa,1558.0,1.0,0.0,3.0,15.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,1.1553,1.6175,0.0,0.0,33.0,12.0,6.0,103.0,6966.0,3512.0,135.2503,6095.0,27.0,27.0,0.0,1.0398,2350.0,2611.0,14.0,2467.0,2805.0,13.0,-117.0,-194.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3975.0,4283.0,20.0,3764.0,4527.0,32.0,211.0,-244.0,-12.0,0.0,8.0,1.0,0.0,2.0,2.0,5167.0,6066.0,23.0,5089.0,6438.0,44.0,78.0,-372.0,-21.0,0.0,10.0,2.0,0.0,5.0,3.0,6576.0,7872.0,27.0,6210.0,7986.0,48.0,366.0,-114.0,-21.0,0.0,13.0,3.0,0.0,7.0,5.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,team,,Macko Academy,1.0,,Orianna,Azir,Jarvan IV,Nautilus,Rakan,1558.0,0.0,12.0,30.0,26.0,12.0,30.0,2.0,0.0,0.0,0.0,1.0,0.4621,1.6175,0.0,1.0,70.0,11.0,9.0,145.0,45682.0,28412.0,1094.172,43563.0,,645.0,148.0,30.5392,16598.0,18381.0,297.0,17507.0,19385.0,329.0,-909.0,-1004.0,-32.0,4.0,4.0,5.0,5.0,7.0,4.0,24678.0,28531.0,465.0,30918.0,34535.0,553.0,-6240.0,-6004.0,-88.0,5.0,6.0,12.0,12.0,19.0,5.0,34246.0,41432.0,635.0,42956.0,49245.0,748.0,-8710.0,-7813.0,-113.0,8.0,13.0,19.0,19.0,27.0,8.0,44699.0,55103.0,779.0,55531.0,64387.0,901.0,-10832.0,-9284.0,-122.0,12.0,26.0,26.0,26.0,40.0,12.0
LOLTMNT01_336870,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,team,,4 Employed e 1 Budino,0.0,,Mel,Jayce,Sion,Braum,Ambessa,1558.0,1.0,30.0,12.0,48.0,30.0,12.0,5.0,2.0,0.0,0.0,0.0,1.1553,1.6175,1.0,0.0,62.0,30.0,13.0,209.0,59605.0,42335.0,1630.3594,52520.0,,742.0,196.0,36.1232,17507.0,19385.0,329.0,16598.0,18381.0,297.0,909.0,1004.0,32.0,5.0,7.0,4.0,4.0,4.0,5.0,30918.0,34535.0,553.0,24678.0,28531.0,465.0,6240.0,6004.0,88.0,12.0,19.0,5.0,5.0,6.0,12.0,42956.0,49245.0,748.0,34246.0,41432.0,635.0,8710.0,7813.0,113.0,19.0,27.0,8.0,8.0,13.0,19.0,55531.0,64387.0,901.0,44699.0,55103.0,779.0,10832.0,9284.0,122.0,26.0,40.0,12.0,12.0,26.0,26.0
