gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,top,Boal,Vivo Keyd Stars,0.0,Ambessa,Jayce,Malphite,Orianna,Alistar,Rakan,2016.0,1.0,3.0,1.0,13.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6845,0.9226,0.0,0.0,13.0,6.0,3.0,50.0,14805.0,10417.0,310.0298,12725.0,334.0,331.0,3.0,9.9405,3597.0,4905.0,95.0,3401.0,5317.0,95.0,196.0,-412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5592.0,8653.0,148.0,4684.0,8076.0,127.0,908.0,577.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,7618.0,11913.0,197.0,6263.0,10401.0,170.0,1355.0,1512.0,27.0,1.0,3.0,0.0,0.0,0.0,2.0,10605.0,16635.0,258.0,8141.0,13475.0,219.0,2464.0,3160.0,39.0,2.0,5.0,0.0,0.0,0.0,3.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,jng,Disamis,Vivo Keyd Stars,0.0,Qiyana,Jayce,Malphite,Orianna,Alistar,Rakan,2016.0,1.0,10.0,0.0,8.0,23.0,8.0,2.0,0.0,0.0,0.0,0.0,0.6845,0.9226,2.0,0.0,10.0,15.0,8.0,68.0,19208.0,14820.0,441.0714,17150.0,310.0,29.0,281.0,9.2262,3725.0,4178.0,78.0,3546.0,3903.0,73.0,179.0,275.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5618.0,6979.0,127.0,5144.0,6314.0,115.0,474.0,665.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,8948.0,10295.0,178.0,6932.0,8146.0,139.0,2016.0,2149.0,39.0,2.0,1.0,0.0,0.0,2.0,1.0,12777.0,15157.0,238.0,8762.0,10223.0,170.0,4015.0,4934.0,68.0,4.0,4.0,0.0,1.0,2.0,2.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,mid,Mireu,Vivo Keyd Stars,0.0,Ryze,Jayce,Malphite,Orianna,Alistar,Rakan,2016.0,1.0,3.0,4.0,12.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6845,0.9226,0.0,0.0,10.0,13.0,7.0,48.0,16042.0,11654.0,346.8452,14775.0,343.0,331.0,12.0,10.2083,3603.0,4933.0,103.0,3726.0,4717.0,88.0,-123.0,216.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,5365.0,7538.0,151.0,5344.0,7562.0,144.0,21.0,-24.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,7889.0,10514.0,208.0,7686.0,11818.0,190.0,203.0,-1304.0,18.0,1.0,1.0,2.0,2.0,0.0,0.0,10602.0,15837.0,264.0,9316.0,13830.0,223.0,1286.0,2007.0,41.0,2.0,3.0,3.0,2.0,1.0,1.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,bot,Morttheus,Vivo Keyd Stars,0.0,Varus,Jayce,Malphite,Orianna,Alistar,Rakan,2016.0,1.0,7.0,0.0,12.0,23.0,8.0,2.0,1.0,0.0,0.0,0.0,0.6845,0.9226,0.0,0.0,18.0,13.0,5.0,61.0,19396.0,15008.0,446.6667,17175.0,335.0,324.0,11.0,9.9702,3282.0,3845.0,91.0,3389.0,3610.0,97.0,-107.0,235.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5702.0,6566.0,150.0,5693.0,6276.0,160.0,9.0,290.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,8891.0,9837.0,212.0,7361.0,8116.0,204.0,1530.0,1721.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,12258.0,13273.0,265.0,9140.0,10374.0,255.0,3118.0,2899.0,10.0,2.0,5.0,0.0,0.0,0.0,2.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,sup,Kaiwing,Vivo Keyd Stars,0.0,Bard,Jayce,Malphite,Orianna,Alistar,Rakan,2016.0,1.0,0.0,3.0,18.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6845,0.9226,0.0,0.0,81.0,29.0,22.0,184.0,9473.0,5085.0,151.3393,8000.0,52.0,52.0,0.0,1.5476,2250.0,2958.0,21.0,2184.0,2676.0,24.0,66.0,282.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.0,4237.0,26.0,3264.0,3781.0,31.0,232.0,456.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,4863.0,5811.0,35.0,4489.0,5264.0,34.0,374.0,547.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,6571.0,8436.0,44.0,5704.0,7154.0,38.0,867.0,1282.0,6.0,0.0,9.0,0.0,0.0,2.0,2.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,top,Robo,paiN Gaming,1.0,Rumble,Neeko,Sylas,Akali,Ezreal,Yunara,2016.0,0.0,2.0,6.0,2.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2381,0.9226,0.0,0.0,11.0,4.0,5.0,33.0,11708.0,7320.0,217.8571,11225.0,283.0,282.0,1.0,8.4226,3401.0,5317.0,95.0,3597.0,4905.0,95.0,-196.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4684.0,8076.0,127.0,5592.0,8653.0,148.0,-908.0,-577.0,-21.0,0.0,0.0,1.0,1.0,0.0,0.0,6263.0,10401.0,170.0,7618.0,11913.0,197.0,-1355.0,-1512.0,-27.0,0.0,0.0,2.0,1.0,3.0,0.0,8141.0,13475.0,219.0,10605.0,16635.0,258.0,-2464.0,-3160.0,-39.0,0.0,0.0,3.0,2.0,5.0,0.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,jng,CarioK,paiN Gaming,1.0,Jarvan IV,Neeko,Sylas,Akali,Ezreal,Yunara,2016.0,0.0,1.0,5.0,7.0,8.0,23.0,0.0,0.0,0.0,0.0,1.0,0.2381,0.9226,0.0,2.0,14.0,9.0,13.0,56.0,10840.0,6452.0,192.0238,10475.0,196.0,28.0,168.0,5.8333,3546.0,3903.0,73.0,3725.0,4178.0,78.0,-179.0,-275.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,5144.0,6314.0,115.0,5618.0,6979.0,127.0,-474.0,-665.0,-12.0,0.0,1.0,0.0,0.0,0.0,0.0,6932.0,8146.0,139.0,8948.0,10295.0,178.0,-2016.0,-2149.0,-39.0,0.0,2.0,1.0,2.0,1.0,0.0,8762.0,10223.0,170.0,12777.0,15157.0,238.0,-4015.0,-4934.0,-68.0,1.0,2.0,2.0,4.0,4.0,0.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,mid,tinowns,paiN Gaming,1.0,Cassiopeia,Neeko,Sylas,Akali,Ezreal,Yunara,2016.0,0.0,4.0,3.0,4.0,8.0,23.0,0.0,0.0,0.0,0.0,1.0,0.2381,0.9226,0.0,0.0,19.0,6.0,8.0,39.0,13189.0,8801.0,261.9345,13250.0,275.0,275.0,0.0,8.1845,3726.0,4717.0,88.0,3603.0,4933.0,103.0,123.0,-216.0,-15.0,1.0,0.0,0.0,0.0,0.0,1.0,5344.0,7562.0,144.0,5365.0,7538.0,151.0,-21.0,24.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,7686.0,11818.0,190.0,7889.0,10514.0,208.0,-203.0,1304.0,-18.0,2.0,0.0,0.0,1.0,1.0,2.0,9316.0,13830.0,223.0,10602.0,15837.0,264.0,-1286.0,-2007.0,-41.0,2.0,1.0,1.0,2.0,3.0,3.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,bot,Marvin,paiN Gaming,1.0,Sivir,Neeko,Sylas,Akali,Ezreal,Yunara,2016.0,0.0,1.0,4.0,3.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2381,0.9226,0.0,0.0,16.0,9.0,5.0,42.0,13862.0,9474.0,281.9643,13775.0,350.0,350.0,0.0,10.4167,3389.0,3610.0,97.0,3282.0,3845.0,91.0,107.0,-235.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5693.0,6276.0,160.0,5702.0,6566.0,150.0,-9.0,-290.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7361.0,8116.0,204.0,8891.0,9837.0,212.0,-1530.0,-1721.0,-8.0,0.0,0.0,1.0,1.0,2.0,0.0,9140.0,10374.0,255.0,12258.0,13273.0,265.0,-3118.0,-2899.0,-10.0,0.0,0.0,2.0,2.0,5.0,0.0
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,sup,Kuri,paiN Gaming,1.0,Rell,Neeko,Sylas,Akali,Ezreal,Yunara,2016.0,0.0,0.0,5.0,7.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2381,0.9226,0.0,0.0,79.0,15.0,15.0,144.0,7765.0,3377.0,100.506,6960.0,42.0,40.0,2.0,1.25,2184.0,2676.0,24.0,2250.0,2958.0,21.0,-66.0,-282.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3264.0,3781.0,31.0,3496.0,4237.0,26.0,-232.0,-456.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4489.0,5264.0,34.0,4863.0,5811.0,35.0,-374.0,-547.0,-1.0,0.0,1.0,1.0,0.0,4.0,0.0,5704.0,7154.0,38.0,6571.0,8436.0,44.0,-867.0,-1282.0,-6.0,0.0,2.0,2.0,0.0,9.0,0.0
