gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,RayFarky,DetonatioN FocusMe,0.0,Sion,Jayce,Rumble,Orianna,Gnar,Yorick,1760.0,0.0,1.0,3.0,2.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.6136,0.0,0.0,10.0,3.0,5.0,29.0,10004.0,6138.0,209.25,10225.0,254.0,254.0,0.0,8.6591,3295.0,5012.0,90.0,3781.0,5534.0,103.0,-486.0,-522.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,4948.0,8434.0,142.0,5739.0,9624.0,165.0,-791.0,-1190.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,6934.0,11829.0,199.0,8361.0,13259.0,220.0,-1427.0,-1430.0,-21.0,0.0,0.0,0.0,1.0,0.0,0.0,8318.0,14260.0,234.0,9879.0,15111.0,247.0,-1561.0,-851.0,-13.0,0.0,1.0,1.0,2.0,1.0,1.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Citrus,DetonatioN FocusMe,0.0,Dr. Mundo,Jayce,Rumble,Orianna,Gnar,Yorick,1760.0,0.0,1.0,3.0,2.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.6136,0.0,1.0,10.0,17.0,11.0,54.0,10302.0,6436.0,219.4091,9250.0,214.0,25.0,189.0,7.2955,3563.0,4344.0,84.0,3750.0,4659.0,86.0,-187.0,-315.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5280.0,6894.0,127.0,5296.0,6539.0,121.0,-16.0,355.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6660.0,8503.0,155.0,7872.0,8942.0,160.0,-1212.0,-439.0,-5.0,0.0,0.0,2.0,0.0,2.0,0.0,8785.0,11010.0,186.0,9342.0,10859.0,187.0,-557.0,151.0,-1.0,1.0,0.0,2.0,0.0,4.0,0.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Keine,DetonatioN FocusMe,0.0,Ryze,Jayce,Rumble,Orianna,Gnar,Yorick,1760.0,0.0,0.0,1.0,2.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.6136,0.0,0.0,14.0,6.0,6.0,43.0,10161.0,6295.0,214.6023,9700.0,287.0,281.0,6.0,9.7841,3623.0,5383.0,103.0,3668.0,5430.0,104.0,-45.0,-47.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5247.0,8067.0,155.0,5419.0,8040.0,158.0,-172.0,27.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,6791.0,10276.0,200.0,7980.0,11433.0,213.0,-1189.0,-1157.0,-13.0,0.0,0.0,0.0,1.0,1.0,0.0,8567.0,14081.0,247.0,9662.0,15199.0,245.0,-1095.0,-1118.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Kakkun,DetonatioN FocusMe,0.0,Corki,Jayce,Rumble,Orianna,Gnar,Yorick,1760.0,0.0,2.0,4.0,2.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.6136,0.0,0.0,10.0,7.0,5.0,28.0,12817.0,8951.0,305.1477,12483.0,303.0,303.0,0.0,10.3295,3704.0,3944.0,108.0,4021.0,3982.0,98.0,-317.0,-38.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,6351.0,6302.0,171.0,6481.0,6335.0,156.0,-130.0,-33.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,8709.0,8348.0,220.0,9385.0,8790.0,213.0,-676.0,-442.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,10493.0,9810.0,264.0,11654.0,11387.0,267.0,-1161.0,-1577.0,-3.0,1.0,1.0,2.0,2.0,2.0,0.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Gaeng,DetonatioN FocusMe,0.0,Nami,Jayce,Rumble,Orianna,Gnar,Yorick,1760.0,0.0,0.0,3.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.6136,0.0,0.0,36.0,4.0,12.0,62.0,6407.0,2541.0,86.625,6820.0,23.0,23.0,0.0,0.7841,2306.0,2802.0,18.0,2502.0,2959.0,20.0,-196.0,-157.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,3345.0,4421.0,21.0,3688.0,4434.0,33.0,-343.0,-13.0,-12.0,0.0,0.0,1.0,0.0,1.0,0.0,4432.0,6161.0,21.0,4965.0,5396.0,36.0,-533.0,765.0,-15.0,0.0,1.0,1.0,0.0,2.0,1.0,5464.0,7768.0,23.0,6071.0,7042.0,37.0,-607.0,726.0,-14.0,0.0,2.0,1.0,0.0,4.0,1.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Kratos,MVK Esports,1.0,Rek'Sai,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,5.0,1.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.4773,0.6136,0.0,0.0,14.0,3.0,5.0,45.0,13898.0,10032.0,342.0,12450.0,290.0,286.0,4.0,9.8864,3781.0,5534.0,103.0,3295.0,5012.0,90.0,486.0,522.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5739.0,9624.0,165.0,4948.0,8434.0,142.0,791.0,1190.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8361.0,13259.0,220.0,6934.0,11829.0,199.0,1427.0,1430.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,9879.0,15111.0,247.0,8318.0,14260.0,234.0,1561.0,851.0,13.0,2.0,1.0,1.0,0.0,1.0,1.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,jng,Gury,MVK Esports,1.0,Malphite,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,0.0,1.0,11.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.4773,0.6136,1.0,0.0,16.0,17.0,9.0,76.0,11848.0,7982.0,272.1136,10725.0,210.0,18.0,192.0,7.1591,3750.0,4659.0,86.0,3563.0,4344.0,84.0,187.0,315.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5296.0,6539.0,121.0,5280.0,6894.0,127.0,16.0,-355.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,7872.0,8942.0,160.0,6660.0,8503.0,155.0,1212.0,439.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,9342.0,10859.0,187.0,8785.0,11010.0,186.0,557.0,-151.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,mid,Kati,MVK Esports,1.0,Anivia,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,3.0,0.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.4773,0.6136,0.0,0.0,14.0,2.0,4.0,34.0,12302.0,8436.0,287.5909,10550.0,279.0,279.0,0.0,9.5114,3668.0,5430.0,104.0,3623.0,5383.0,103.0,45.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5419.0,8040.0,158.0,5247.0,8067.0,155.0,172.0,-27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7980.0,11433.0,213.0,6791.0,10276.0,200.0,1189.0,1157.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,9662.0,15199.0,245.0,8567.0,14081.0,247.0,1095.0,1118.0,-2.0,2.0,1.0,0.0,0.0,1.0,0.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,Shogun,MVK Esports,1.0,Varus,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,6.0,0.0,6.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,0.4773,0.6136,0.0,0.0,14.0,12.0,7.0,47.0,16247.0,12381.0,422.0795,13062.0,324.0,324.0,0.0,11.0455,4021.0,3982.0,98.0,3704.0,3944.0,108.0,317.0,38.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,6481.0,6335.0,156.0,6351.0,6302.0,171.0,130.0,33.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,9385.0,8790.0,213.0,8709.0,8348.0,220.0,676.0,442.0,-7.0,2.0,0.0,0.0,1.0,0.0,1.0,11654.0,11387.0,267.0,10493.0,9810.0,264.0,1161.0,1577.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,Elio,MVK Esports,1.0,Alistar,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,0.0,2.0,8.0,14.0,4.0,0.0,0.0,0.0,0.0,1.0,0.4773,0.6136,0.0,0.0,53.0,12.0,12.0,122.0,7582.0,3716.0,126.6818,7495.0,39.0,39.0,0.0,1.3295,2502.0,2959.0,20.0,2306.0,2802.0,18.0,196.0,157.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3688.0,4434.0,33.0,3345.0,4421.0,21.0,343.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,4965.0,5396.0,36.0,4432.0,6161.0,21.0,533.0,-765.0,15.0,0.0,2.0,1.0,0.0,1.0,1.0,6071.0,7042.0,37.0,5464.0,7768.0,23.0,607.0,-726.0,14.0,0.0,4.0,1.0,0.0,2.0,1.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Blue,team,,DetonatioN FocusMe,0.0,,Jayce,Rumble,Orianna,Gnar,Yorick,1760.0,0.0,4.0,14.0,12.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.6136,0.0,1.0,80.0,37.0,39.0,216.0,49691.0,30361.0,1035.0341,48478.0,,886.0,195.0,36.8523,16491.0,21485.0,403.0,17722.0,22564.0,411.0,-1231.0,-1079.0,-8.0,0.0,0.0,1.0,1.0,1.0,0.0,25171.0,34118.0,616.0,26623.0,34972.0,633.0,-1452.0,-854.0,-17.0,0.0,0.0,1.0,1.0,1.0,0.0,33526.0,45117.0,795.0,38563.0,47820.0,842.0,-5037.0,-2703.0,-47.0,1.0,1.0,4.0,4.0,5.0,1.0,41627.0,56929.0,954.0,46608.0,59598.0,983.0,-4981.0,-2669.0,-29.0,2.0,5.0,6.0,6.0,12.0,2.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,team,,MVK Esports,1.0,,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,14.0,4.0,35.0,14.0,4.0,2.0,0.0,0.0,0.0,1.0,0.4773,0.6136,1.0,0.0,111.0,46.0,37.0,324.0,61877.0,42547.0,1450.4659,54282.0,,946.0,196.0,38.9318,17722.0,22564.0,411.0,16491.0,21485.0,403.0,1231.0,1079.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,26623.0,34972.0,633.0,25171.0,34118.0,616.0,1452.0,854.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,38563.0,47820.0,842.0,33526.0,45117.0,795.0,5037.0,2703.0,47.0,4.0,5.0,1.0,1.0,1.0,4.0,46608.0,59598.0,983.0,41627.0,56929.0,954.0,4981.0,2669.0,29.0,6.0,12.0,2.0,2.0,5.0,6.0
