gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,Zaahen,Hecarim,Sion,Caitlyn,Neeko,Rakan,1667.0,1.0,6.0,0.0,4.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.5039,0.6839,0.0,0.0,13.0,1.0,1.0,32.0,12539.0,8863.0,319.0042,10258.0,254.0,252.0,2.0,9.1422,3861.0,5299.0,84.0,2915.0,4410.0,68.0,946.0,889.0,16.0,1.0,1.0,0.0,0.0,0.0,2.0,5796.0,9088.0,143.0,4707.0,8598.0,131.0,1089.0,490.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,7705.0,11858.0,185.0,6708.0,11293.0,170.0,997.0,565.0,15.0,2.0,2.0,0.0,1.0,0.0,3.0,10394.0,16262.0,228.0,8124.0,13643.0,206.0,2270.0,2619.0,22.0,4.0,3.0,0.0,1.0,0.0,4.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Wukong,Hecarim,Sion,Caitlyn,Neeko,Rakan,1667.0,1.0,5.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5039,0.6839,1.0,0.0,10.0,13.0,6.0,60.0,12936.0,9260.0,333.2933,11033.0,206.0,25.0,181.0,7.4145,4446.0,4657.0,80.0,3333.0,3748.0,72.0,1113.0,909.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,6327.0,6938.0,120.0,4922.0,5886.0,108.0,1405.0,1052.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,8686.0,9963.0,159.0,6645.0,8361.0,146.0,2041.0,1602.0,13.0,3.0,2.0,0.0,0.0,3.0,0.0,11296.0,13094.0,195.0,8271.0,10532.0,182.0,3025.0,2562.0,13.0,4.0,3.0,0.0,0.0,3.0,0.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Akashi,Dragons Esports,1.0,Orianna,Hecarim,Sion,Caitlyn,Neeko,Rakan,1667.0,1.0,2.0,1.0,9.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5039,0.6839,0.0,0.0,10.0,4.0,1.0,22.0,12140.0,8464.0,304.6431,10725.0,259.0,255.0,4.0,9.3221,3698.0,5373.0,84.0,3235.0,4626.0,66.0,463.0,747.0,18.0,0.0,2.0,1.0,1.0,0.0,2.0,5407.0,7903.0,138.0,4707.0,7012.0,107.0,700.0,891.0,31.0,0.0,2.0,1.0,1.0,0.0,2.0,8167.0,11189.0,196.0,6393.0,10017.0,159.0,1774.0,1172.0,37.0,1.0,3.0,1.0,1.0,2.0,2.0,10602.0,15949.0,243.0,7999.0,12315.0,206.0,2603.0,3634.0,37.0,1.0,6.0,1.0,1.0,2.0,3.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,Jalleba,Dragons Esports,1.0,Kai'Sa,Hecarim,Sion,Caitlyn,Neeko,Rakan,1667.0,1.0,1.0,2.0,4.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5039,0.6839,0.0,0.0,12.0,10.0,2.0,33.0,13003.0,9327.0,335.7049,13150.0,285.0,282.0,3.0,10.2579,3344.0,3460.0,89.0,3575.0,3648.0,99.0,-231.0,-188.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5869.0,6138.0,150.0,6399.0,5823.0,148.0,-530.0,315.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8280.0,8877.0,208.0,9003.0,9082.0,211.0,-723.0,-205.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,11259.0,11896.0,256.0,10840.0,11488.0,262.0,419.0,408.0,-6.0,1.0,3.0,1.0,2.0,1.0,1.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Blue,sup,IHEBIC,Dragons Esports,1.0,Alistar,Hecarim,Sion,Caitlyn,Neeko,Rakan,1667.0,1.0,0.0,2.0,6.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5039,0.6839,0.0,0.0,60.0,10.0,16.0,111.0,7213.0,3537.0,127.3065,6045.0,26.0,25.0,1.0,0.9358,2391.0,2760.0,14.0,2484.0,3132.0,15.0,-93.0,-372.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,3519.0,3695.0,20.0,3622.0,4129.0,27.0,-103.0,-434.0,-7.0,0.0,0.0,1.0,0.0,2.0,0.0,4611.0,4367.0,21.0,4807.0,4693.0,33.0,-196.0,-326.0,-12.0,0.0,0.0,2.0,0.0,4.0,1.0,6051.0,6323.0,25.0,5970.0,5796.0,41.0,81.0,527.0,-16.0,0.0,2.0,2.0,0.0,4.0,2.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Red,top,Claww,3BL Esports,0.0,Udyr,Aphelios,Ambessa,Lee Sin,Poppy,Nautilus,1667.0,0.0,1.0,5.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.18,0.6839,0.0,0.0,11.0,1.0,0.0,27.0,8847.0,5171.0,186.1188,9530.0,221.0,221.0,0.0,7.9544,2915.0,4410.0,68.0,3861.0,5299.0,84.0,-946.0,-889.0,-16.0,0.0,0.0,2.0,1.0,1.0,0.0,4707.0,8598.0,131.0,5796.0,9088.0,143.0,-1089.0,-490.0,-12.0,0.0,0.0,2.0,1.0,1.0,0.0,6708.0,11293.0,170.0,7705.0,11858.0,185.0,-997.0,-565.0,-15.0,1.0,0.0,3.0,2.0,2.0,0.0,8124.0,13643.0,206.0,10394.0,16262.0,228.0,-2270.0,-2619.0,-22.0,1.0,0.0,4.0,4.0,3.0,0.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Red,jng,Silva2,3BL Esports,0.0,Jarvan IV,Aphelios,Ambessa,Lee Sin,Poppy,Nautilus,1667.0,0.0,0.0,1.0,3.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.18,0.6839,0.0,1.0,7.0,9.0,3.0,42.0,9163.0,5487.0,197.4925,7775.0,199.0,23.0,176.0,7.1626,3333.0,3748.0,72.0,4446.0,4657.0,80.0,-1113.0,-909.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,4922.0,5886.0,108.0,6327.0,6938.0,120.0,-1405.0,-1052.0,-12.0,0.0,1.0,0.0,3.0,0.0,0.0,6645.0,8361.0,146.0,8686.0,9963.0,159.0,-2041.0,-1602.0,-13.0,0.0,3.0,0.0,3.0,2.0,0.0,8271.0,10532.0,182.0,11296.0,13094.0,195.0,-3025.0,-2562.0,-13.0,0.0,3.0,0.0,4.0,3.0,0.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,VAEII,3BL Esports,0.0,Akali,Aphelios,Ambessa,Lee Sin,Poppy,Nautilus,1667.0,0.0,2.0,3.0,2.0,5.0,14.0,0.0,0.0,0.0,0.0,1.0,0.18,0.6839,0.0,0.0,6.0,3.0,0.0,19.0,9310.0,5634.0,202.7834,8700.0,224.0,224.0,0.0,8.0624,3235.0,4626.0,66.0,3698.0,5373.0,84.0,-463.0,-747.0,-18.0,1.0,0.0,2.0,0.0,2.0,1.0,4707.0,7012.0,107.0,5407.0,7903.0,138.0,-700.0,-891.0,-31.0,1.0,0.0,2.0,0.0,2.0,1.0,6393.0,10017.0,159.0,8167.0,11189.0,196.0,-1774.0,-1172.0,-37.0,1.0,2.0,2.0,1.0,3.0,1.0,7999.0,12315.0,206.0,10602.0,15949.0,243.0,-2603.0,-3634.0,-37.0,1.0,2.0,3.0,1.0,6.0,1.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Red,bot,choego,3BL Esports,0.0,Yunara,Aphelios,Ambessa,Lee Sin,Poppy,Nautilus,1667.0,0.0,2.0,2.0,1.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.18,0.6839,0.0,0.0,11.0,7.0,3.0,32.0,12062.0,8386.0,301.8356,12130.0,291.0,287.0,4.0,10.4739,3575.0,3648.0,99.0,3344.0,3460.0,89.0,231.0,188.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6399.0,5823.0,148.0,5869.0,6138.0,150.0,530.0,-315.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,9003.0,9082.0,211.0,8280.0,8877.0,208.0,723.0,205.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,10840.0,11488.0,262.0,11259.0,11896.0,256.0,-419.0,-408.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Red,sup,Zaremba,3BL Esports,0.0,Rell,Aphelios,Ambessa,Lee Sin,Poppy,Nautilus,1667.0,0.0,0.0,3.0,4.0,5.0,14.0,0.0,0.0,0.0,0.0,1.0,0.18,0.6839,0.0,0.0,60.0,20.0,11.0,136.0,6640.0,2964.0,106.6827,6380.0,42.0,42.0,0.0,1.5117,2484.0,3132.0,15.0,2391.0,2760.0,14.0,93.0,372.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3622.0,4129.0,27.0,3519.0,3695.0,20.0,103.0,434.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,4807.0,4693.0,33.0,4611.0,4367.0,21.0,196.0,326.0,12.0,0.0,4.0,1.0,0.0,0.0,2.0,5970.0,5796.0,41.0,6051.0,6323.0,25.0,-81.0,-527.0,16.0,0.0,4.0,2.0,0.0,2.0,2.0
