gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,top,EPTM Aarrow,Epitomy Masters,1.0,Dr. Mundo,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,1.0,2.0,6.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.918,0.0,0.0,11.0,6.0,4.0,32.0,12840.0,8831.0,289.541,11350.0,230.0,230.0,0.0,7.541,3078.0,4734.0,78.0,3480.0,5069.0,87.0,-402.0,-335.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5493.0,8665.0,130.0,5029.0,8503.0,132.0,464.0,162.0,-2.0,0.0,1.0,0.0,0.0,1.0,0.0,7493.0,11602.0,176.0,7236.0,12064.0,178.0,257.0,-462.0,-2.0,0.0,1.0,2.0,1.0,3.0,1.0,9322.0,13651.0,198.0,8365.0,14253.0,200.0,957.0,-602.0,-2.0,0.0,4.0,2.0,1.0,3.0,1.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,jng,Lesranct,Epitomy Masters,1.0,Jayce,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,4.0,2.0,6.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.918,1.0,0.0,4.0,20.0,4.0,59.0,14842.0,10833.0,355.1803,13250.0,261.0,23.0,238.0,8.5574,3663.0,4205.0,86.0,3406.0,4124.0,77.0,257.0,81.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6249.0,7255.0,137.0,5155.0,6453.0,116.0,1094.0,802.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,9318.0,9759.0,175.0,8651.0,10340.0,160.0,667.0,-581.0,15.0,3.0,0.0,0.0,2.0,4.0,1.0,12030.0,12374.0,217.0,10491.0,12118.0,183.0,1539.0,256.0,34.0,4.0,3.0,1.0,3.0,6.0,3.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,mid,EPTM Spinda,Epitomy Masters,1.0,Veigar,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,2.0,3.0,9.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.918,0.0,0.0,11.0,1.0,3.0,22.0,10887.0,6878.0,225.5082,9575.0,223.0,223.0,0.0,7.3115,3203.0,4983.0,91.0,3521.0,4767.0,102.0,-318.0,216.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4850.0,7734.0,140.0,5150.0,7344.0,153.0,-300.0,390.0,-13.0,0.0,1.0,1.0,0.0,1.0,1.0,6694.0,10095.0,182.0,7341.0,10255.0,204.0,-647.0,-160.0,-22.0,0.0,3.0,2.0,1.0,2.0,1.0,7793.0,11632.0,199.0,9425.0,12369.0,234.0,-1632.0,-737.0,-35.0,0.0,6.0,3.0,3.0,3.0,2.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,bot,mirza,Epitomy Masters,1.0,Varus,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,10.0,1.0,1.0,17.0,11.0,2.0,1.0,0.0,0.0,1.0,0.5574,0.918,0.0,0.0,9.0,4.0,4.0,23.0,16991.0,12982.0,425.6393,14500.0,301.0,300.0,1.0,9.8689,4087.0,4003.0,97.0,3372.0,3918.0,90.0,715.0,85.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,6834.0,6371.0,144.0,5059.0,5546.0,130.0,1775.0,825.0,14.0,3.0,0.0,0.0,0.0,0.0,1.0,9331.0,8917.0,202.0,7798.0,8590.0,189.0,1533.0,327.0,13.0,3.0,0.0,1.0,0.0,3.0,1.0,13223.0,12242.0,258.0,10372.0,11143.0,243.0,2851.0,1099.0,15.0,7.0,1.0,1.0,1.0,5.0,1.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,sup,EPTM Mozziii,Epitomy Masters,1.0,Alistar,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,0.0,3.0,10.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.918,0.0,0.0,50.0,10.0,9.0,108.0,8117.0,4108.0,134.6885,7085.0,30.0,30.0,0.0,0.9836,2123.0,2530.0,18.0,2136.0,2403.0,21.0,-13.0,127.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3517.0,3928.0,26.0,3607.0,3990.0,29.0,-90.0,-62.0,-3.0,0.0,2.0,0.0,1.0,0.0,1.0,4887.0,4892.0,28.0,5084.0,5339.0,31.0,-197.0,-447.0,-3.0,0.0,4.0,1.0,2.0,2.0,2.0,5981.0,5964.0,30.0,6011.0,6511.0,32.0,-30.0,-547.0,-2.0,0.0,5.0,3.0,2.0,2.0,4.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Red,top,AD Magneficents,The AstroDucks,0.0,Ambessa,Nidalee,Diana,Aurelion Sol,Smolder,Hwei,1830.0,0.0,1.0,2.0,3.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3607,0.918,0.0,0.0,10.0,2.0,1.0,22.0,9694.0,5685.0,186.3934,9600.0,220.0,219.0,1.0,7.2131,3480.0,5069.0,87.0,3078.0,4734.0,78.0,402.0,335.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5029.0,8503.0,132.0,5493.0,8665.0,130.0,-464.0,-162.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,7236.0,12064.0,178.0,7493.0,11602.0,176.0,-257.0,462.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,8365.0,14253.0,200.0,9322.0,13651.0,198.0,-957.0,602.0,2.0,1.0,3.0,1.0,0.0,4.0,2.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Red,jng,Groudon,The AstroDucks,0.0,Wukong,Nidalee,Diana,Aurelion Sol,Smolder,Hwei,1830.0,0.0,3.0,5.0,7.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3607,0.918,0.0,1.0,6.0,8.0,5.0,49.0,11916.0,7907.0,259.2459,11558.0,202.0,18.0,184.0,6.623,3406.0,4124.0,77.0,3663.0,4205.0,86.0,-257.0,-81.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5155.0,6453.0,116.0,6249.0,7255.0,137.0,-1094.0,-802.0,-21.0,0.0,1.0,1.0,1.0,0.0,0.0,8651.0,10340.0,160.0,9318.0,9759.0,175.0,-667.0,581.0,-15.0,2.0,4.0,1.0,3.0,0.0,0.0,10491.0,12118.0,183.0,12030.0,12374.0,217.0,-1539.0,-256.0,-34.0,3.0,6.0,3.0,4.0,3.0,1.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Red,mid,AD Ciro QQ,The AstroDucks,0.0,Mel,Nidalee,Diana,Aurelion Sol,Smolder,Hwei,1830.0,0.0,4.0,4.0,3.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3607,0.918,0.0,0.0,17.0,4.0,8.0,34.0,11761.0,7752.0,254.1639,11450.0,265.0,265.0,0.0,8.6885,3521.0,4767.0,102.0,3203.0,4983.0,91.0,318.0,-216.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5150.0,7344.0,153.0,4850.0,7734.0,140.0,300.0,-390.0,13.0,0.0,1.0,1.0,0.0,1.0,1.0,7341.0,10255.0,204.0,6694.0,10095.0,182.0,647.0,160.0,22.0,1.0,2.0,1.0,0.0,3.0,2.0,9425.0,12369.0,234.0,7793.0,11632.0,199.0,1632.0,737.0,35.0,3.0,3.0,2.0,0.0,6.0,3.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Red,bot,Zekrosk,The AstroDucks,0.0,Corki,Nidalee,Diana,Aurelion Sol,Smolder,Hwei,1830.0,0.0,1.0,1.0,5.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3607,0.918,0.0,0.0,11.0,6.0,3.0,31.0,12502.0,8493.0,278.459,12308.0,294.0,286.0,8.0,9.6393,3372.0,3918.0,90.0,4087.0,4003.0,97.0,-715.0,-85.0,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,5059.0,5546.0,130.0,6834.0,6371.0,144.0,-1775.0,-825.0,-14.0,0.0,0.0,1.0,3.0,0.0,0.0,7798.0,8590.0,189.0,9331.0,8917.0,202.0,-1533.0,-327.0,-13.0,0.0,3.0,1.0,3.0,0.0,1.0,10372.0,11143.0,243.0,13223.0,12242.0,258.0,-2851.0,-1099.0,-15.0,1.0,5.0,1.0,7.0,1.0,1.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Red,sup,Junco,The AstroDucks,0.0,Nautilus,Nidalee,Diana,Aurelion Sol,Smolder,Hwei,1830.0,0.0,2.0,5.0,3.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3607,0.918,0.0,0.0,41.0,6.0,7.0,92.0,7136.0,3127.0,102.5246,6700.0,32.0,32.0,0.0,1.0492,2136.0,2403.0,21.0,2123.0,2530.0,18.0,13.0,-127.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3607.0,3990.0,29.0,3517.0,3928.0,26.0,90.0,62.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,5084.0,5339.0,31.0,4887.0,4892.0,28.0,197.0,447.0,3.0,2.0,2.0,2.0,0.0,4.0,1.0,6011.0,6511.0,32.0,5981.0,5964.0,30.0,30.0,547.0,2.0,2.0,2.0,4.0,0.0,5.0,3.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,team,,Epitomy Masters,1.0,,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,17.0,11.0,32.0,17.0,11.0,2.0,1.0,0.0,0.0,1.0,0.5574,0.918,1.0,0.0,85.0,41.0,24.0,244.0,63677.0,43633.0,1430.5902,55760.0,,806.0,239.0,34.2623,16154.0,20455.0,370.0,15915.0,20281.0,377.0,239.0,174.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,26943.0,33953.0,577.0,24000.0,31836.0,560.0,2943.0,2117.0,17.0,4.0,4.0,1.0,1.0,3.0,4.0,37723.0,45265.0,763.0,36110.0,46588.0,762.0,1613.0,-1323.0,1.0,6.0,8.0,6.0,6.0,14.0,6.0,48349.0,55863.0,902.0,44664.0,56394.0,892.0,3685.0,-531.0,10.0,11.0,19.0,10.0,10.0,19.0,11.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Red,team,,The AstroDucks,0.0,,Nidalee,Diana,Aurelion Sol,Smolder,Hwei,1830.0,0.0,11.0,17.0,21.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3607,0.918,0.0,1.0,85.0,26.0,24.0,228.0,53009.0,32965.0,1080.8197,51616.0,,820.0,193.0,33.2131,15915.0,20281.0,377.0,16154.0,20455.0,370.0,-239.0,-174.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,24000.0,31836.0,560.0,26943.0,33953.0,577.0,-2943.0,-2117.0,-17.0,1.0,3.0,4.0,4.0,4.0,1.0,36110.0,46588.0,762.0,37723.0,45265.0,763.0,-1613.0,1323.0,-1.0,6.0,14.0,6.0,6.0,8.0,6.0,44664.0,56394.0,892.0,48349.0,55863.0,902.0,-3685.0,531.0,-10.0,10.0,19.0,11.0,11.0,19.0,10.0
