gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,top,Siwoo,Dplus Kia,0.0,Ambessa,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,4.0,3.0,6.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7769,1.0241,0.0,0.0,9.0,3.0,3.0,32.0,12706.0,8964.0,316.5627,11875.0,284.0,272.0,12.0,10.0294,3608.0,5472.0,99.0,3350.0,5255.0,86.0,258.0,217.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6523.0,10007.0,159.0,5081.0,8693.0,127.0,1442.0,1314.0,32.0,1.0,0.0,0.0,1.0,0.0,1.0,9347.0,14072.0,207.0,6874.0,12045.0,178.0,2473.0,2027.0,29.0,4.0,2.0,2.0,1.0,1.0,3.0,11436.0,17342.0,270.0,8364.0,14483.0,222.0,3072.0,2859.0,48.0,4.0,2.0,2.0,1.0,1.0,3.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Jarvan IV,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,5.0,1.0,11.0,22.0,7.0,1.0,0.0,0.0,0.0,1.0,0.7769,1.0241,0.0,0.0,7.0,19.0,6.0,61.0,12911.0,9169.0,323.8022,11200.0,240.0,27.0,213.0,8.4756,3872.0,4610.0,87.0,3372.0,3878.0,72.0,500.0,732.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,6588.0,7321.0,135.0,5095.0,6368.0,114.0,1493.0,953.0,21.0,3.0,2.0,0.0,0.0,1.0,2.0,8809.0,10661.0,181.0,6595.0,8771.0,140.0,2214.0,1890.0,41.0,3.0,3.0,0.0,0.0,3.0,3.0,10787.0,13376.0,225.0,7807.0,10176.0,160.0,2980.0,3200.0,65.0,3.0,3.0,0.0,0.0,4.0,3.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,mid,ShowMaker,Dplus Kia,0.0,Ryze,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,5.0,0.0,6.0,22.0,7.0,1.0,1.0,0.0,0.0,0.0,0.7769,1.0241,0.0,0.0,14.0,5.0,4.0,28.0,14287.0,10545.0,372.3955,13450.0,320.0,312.0,8.0,11.3008,4028.0,5314.0,105.0,3639.0,5479.0,109.0,389.0,-165.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,6240.0,8851.0,173.0,5455.0,8616.0,170.0,785.0,235.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,9337.0,12175.0,246.0,7687.0,12244.0,248.0,1650.0,-69.0,-2.0,1.0,2.0,0.0,0.0,2.0,0.0,11454.0,16696.0,309.0,9506.0,15154.0,300.0,1948.0,1542.0,9.0,1.0,2.0,0.0,0.0,3.0,0.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Ezreal,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,6.0,1.0,7.0,22.0,7.0,1.0,0.0,0.0,0.0,0.0,0.7769,1.0241,1.0,0.0,16.0,5.0,7.0,38.0,16005.0,12263.0,433.0665,14158.0,308.0,284.0,24.0,10.877,3778.0,3674.0,96.0,3296.0,3221.0,85.0,482.0,453.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6195.0,5850.0,145.0,6325.0,5377.0,137.0,-130.0,473.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,10043.0,9540.0,208.0,9491.0,7860.0,182.0,552.0,1680.0,26.0,3.0,3.0,1.0,3.0,0.0,3.0,12573.0,12772.0,280.0,12290.0,10357.0,249.0,283.0,2415.0,31.0,3.0,3.0,1.0,4.0,0.0,3.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,sup,Career,Dplus Kia,0.0,Karma,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,2.0,2.0,17.0,22.0,7.0,0.0,0.0,0.0,0.0,1.0,0.7769,1.0241,0.0,0.0,55.0,15.0,9.0,119.0,8965.0,5223.0,184.4497,8020.0,28.0,28.0,0.0,0.9888,2945.0,2758.0,10.0,2354.0,2570.0,15.0,591.0,188.0,-5.0,1.0,1.0,0.0,0.0,0.0,1.0,4349.0,4183.0,15.0,3684.0,4050.0,16.0,665.0,133.0,-1.0,1.0,4.0,1.0,0.0,2.0,2.0,5863.0,5856.0,22.0,4898.0,6186.0,22.0,965.0,-330.0,0.0,1.0,8.0,1.0,0.0,4.0,3.0,7006.0,6926.0,25.0,5959.0,8242.0,28.0,1047.0,-1316.0,-3.0,1.0,8.0,2.0,0.0,4.0,3.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Casting,HANJIN BRION,1.0,Rek'Sai,Qiyana,Malphite,Rumble,Bard,Lucian,1699.0,0.0,2.0,5.0,1.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2472,1.0241,0.0,0.0,19.0,5.0,7.0,39.0,9641.0,5899.0,208.3225,9775.0,241.0,241.0,0.0,8.5109,3350.0,5255.0,86.0,3608.0,5472.0,99.0,-258.0,-217.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5081.0,8693.0,127.0,6523.0,10007.0,159.0,-1442.0,-1314.0,-32.0,1.0,0.0,1.0,1.0,0.0,0.0,6874.0,12045.0,178.0,9347.0,14072.0,207.0,-2473.0,-2027.0,-29.0,1.0,1.0,3.0,4.0,2.0,2.0,8364.0,14483.0,222.0,11436.0,17342.0,270.0,-3072.0,-2859.0,-48.0,1.0,1.0,3.0,4.0,2.0,2.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Red,jng,GIDEON,HANJIN BRION,1.0,Xin Zhao,Qiyana,Malphite,Rumble,Bard,Lucian,1699.0,0.0,0.0,5.0,5.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2472,1.0241,0.0,0.0,9.0,5.0,9.0,33.0,8497.0,4755.0,167.9223,8470.0,165.0,17.0,148.0,5.827,3372.0,3878.0,72.0,3872.0,4610.0,87.0,-500.0,-732.0,-15.0,0.0,0.0,1.0,0.0,2.0,0.0,5095.0,6368.0,114.0,6588.0,7321.0,135.0,-1493.0,-953.0,-21.0,0.0,1.0,2.0,3.0,2.0,0.0,6595.0,8771.0,140.0,8809.0,10661.0,181.0,-2214.0,-1890.0,-41.0,0.0,3.0,3.0,3.0,3.0,0.0,7807.0,10176.0,160.0,10787.0,13376.0,225.0,-2980.0,-3200.0,-65.0,0.0,4.0,3.0,3.0,3.0,0.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Red,mid,Roamer,HANJIN BRION,1.0,Taliyah,Qiyana,Malphite,Rumble,Bard,Lucian,1699.0,0.0,1.0,2.0,4.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2472,1.0241,0.0,0.0,14.0,7.0,7.0,38.0,11328.0,7586.0,267.8988,10925.0,317.0,317.0,0.0,11.1948,3639.0,5479.0,109.0,4028.0,5314.0,105.0,-389.0,165.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,5455.0,8616.0,170.0,6240.0,8851.0,173.0,-785.0,-235.0,-3.0,0.0,1.0,0.0,1.0,2.0,0.0,7687.0,12244.0,248.0,9337.0,12175.0,246.0,-1650.0,69.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,9506.0,15154.0,300.0,11454.0,16696.0,309.0,-1948.0,-1542.0,-9.0,0.0,3.0,0.0,1.0,2.0,0.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Red,bot,Teddy,HANJIN BRION,1.0,Yunara,Qiyana,Malphite,Rumble,Bard,Lucian,1699.0,0.0,4.0,5.0,2.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2472,1.0241,0.0,1.0,14.0,12.0,4.0,43.0,13415.0,9673.0,341.6009,13200.0,267.0,267.0,0.0,9.4291,3296.0,3221.0,85.0,3778.0,3674.0,96.0,-482.0,-453.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,6325.0,5377.0,137.0,6195.0,5850.0,145.0,130.0,-473.0,-8.0,1.0,0.0,1.0,0.0,2.0,1.0,9491.0,7860.0,182.0,10043.0,9540.0,208.0,-552.0,-1680.0,-26.0,3.0,0.0,3.0,3.0,3.0,1.0,12290.0,10357.0,249.0,12573.0,12772.0,280.0,-283.0,-2415.0,-31.0,4.0,0.0,3.0,3.0,3.0,1.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Red,sup,Namgung,HANJIN BRION,1.0,Neeko,Qiyana,Malphite,Rumble,Bard,Lucian,1699.0,0.0,0.0,5.0,5.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2472,1.0241,0.0,0.0,50.0,11.0,11.0,87.0,6750.0,3008.0,106.2272,5995.0,33.0,33.0,0.0,1.1654,2354.0,2570.0,15.0,2945.0,2758.0,10.0,-591.0,-188.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,3684.0,4050.0,16.0,4349.0,4183.0,15.0,-665.0,-133.0,1.0,0.0,2.0,2.0,1.0,4.0,1.0,4898.0,6186.0,22.0,5863.0,5856.0,22.0,-965.0,330.0,0.0,0.0,4.0,3.0,1.0,8.0,1.0,5959.0,8242.0,28.0,7006.0,6926.0,25.0,-1047.0,1316.0,3.0,0.0,4.0,3.0,1.0,8.0,2.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,team,,Dplus Kia,0.0,,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,22.0,7.0,47.0,22.0,7.0,3.0,1.0,0.0,0.0,1.0,0.7769,1.0241,1.0,0.0,101.0,47.0,29.0,278.0,64874.0,46166.0,1630.3473,58703.0,,923.0,257.0,41.6716,18231.0,21828.0,397.0,16011.0,20403.0,367.0,2220.0,1425.0,30.0,2.0,3.0,0.0,0.0,0.0,2.0,29895.0,36212.0,627.0,25640.0,33104.0,564.0,4255.0,3108.0,63.0,6.0,10.0,2.0,2.0,4.0,6.0,43399.0,52304.0,864.0,35545.0,47106.0,770.0,7854.0,5198.0,94.0,12.0,18.0,4.0,4.0,10.0,12.0,53256.0,67112.0,1109.0,43926.0,58412.0,959.0,9330.0,8700.0,150.0,12.0,18.0,5.0,5.0,12.0,12.0
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Red,team,,HANJIN BRION,1.0,,Qiyana,Malphite,Rumble,Bard,Lucian,1699.0,0.0,7.0,22.0,17.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2472,1.0241,0.0,1.0,106.0,40.0,38.0,240.0,49631.0,30923.0,1092.0424,48365.0,,875.0,148.0,36.1271,16011.0,20403.0,367.0,18231.0,21828.0,397.0,-2220.0,-1425.0,-30.0,0.0,0.0,2.0,2.0,3.0,0.0,25640.0,33104.0,564.0,29895.0,36212.0,627.0,-4255.0,-3108.0,-63.0,2.0,4.0,6.0,6.0,10.0,2.0,35545.0,47106.0,770.0,43399.0,52304.0,864.0,-7854.0,-5198.0,-94.0,4.0,10.0,12.0,12.0,18.0,4.0,43926.0,58412.0,959.0,53256.0,67112.0,1109.0,-9330.0,-8700.0,-150.0,5.0,12.0,12.0,12.0,18.0,5.0
