gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Jaehyuk,Dplus Kia Challengers,0.0,Renekton,Orianna,Azir,Rumble,Ryze,Galio,1775.0,1.0,4.0,0.0,2.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.507,0.7775,0.0,0.0,11.0,3.0,6.0,31.0,13492.0,9595.0,324.338,11625.0,316.0,312.0,4.0,10.6817,3903.0,5327.0,104.0,3255.0,4976.0,86.0,648.0,351.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.0,9563.0,166.0,4904.0,8131.0,129.0,1697.0,1432.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,8484.0,12168.0,207.0,7506.0,10697.0,172.0,978.0,1471.0,35.0,2.0,1.0,0.0,2.0,1.0,1.0,10306.0,15270.0,261.0,9920.0,14678.0,245.0,386.0,592.0,16.0,2.0,1.0,0.0,2.0,1.0,1.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Sharvel,Dplus Kia Challengers,0.0,Wukong,Orianna,Azir,Rumble,Ryze,Galio,1775.0,1.0,4.0,1.0,5.0,15.0,8.0,1.0,0.0,0.0,0.0,0.0,0.507,0.7775,1.0,0.0,15.0,17.0,10.0,65.0,13275.0,9378.0,317.0028,11833.0,255.0,22.0,233.0,8.6197,3489.0,4216.0,82.0,3661.0,4027.0,80.0,-172.0,189.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5691.0,7154.0,129.0,5581.0,6751.0,127.0,110.0,403.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,7795.0,10172.0,172.0,6945.0,8212.0,150.0,850.0,1960.0,22.0,1.0,3.0,1.0,0.0,5.0,2.0,10219.0,13094.0,223.0,8640.0,9864.0,175.0,1579.0,3230.0,48.0,2.0,3.0,1.0,1.0,5.0,3.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Garden,Dplus Kia Challengers,0.0,Taliyah,Orianna,Azir,Rumble,Ryze,Galio,1775.0,1.0,4.0,0.0,4.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.507,0.7775,0.0,0.0,16.0,1.0,4.0,24.0,14459.0,10562.0,357.0254,11700.0,333.0,329.0,4.0,11.2563,3666.0,5484.0,104.0,4277.0,5383.0,101.0,-611.0,101.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5631.0,8622.0,157.0,6029.0,8303.0,157.0,-398.0,319.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8026.0,11474.0,209.0,7817.0,11025.0,207.0,209.0,449.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,10736.0,15418.0,279.0,9606.0,13494.0,255.0,1130.0,1924.0,24.0,2.0,2.0,0.0,1.0,2.0,2.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,bot,Wayne,Dplus Kia Challengers,0.0,Yunara,Orianna,Azir,Rumble,Ryze,Galio,1775.0,1.0,3.0,4.0,5.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.507,0.7775,0.0,0.0,15.0,8.0,5.0,33.0,14536.0,10639.0,359.6282,11575.0,295.0,295.0,0.0,9.9718,3332.0,3160.0,89.0,3888.0,3493.0,97.0,-556.0,-333.0,-8.0,0.0,0.0,1.0,1.0,0.0,0.0,5944.0,5069.0,140.0,6730.0,5756.0,153.0,-786.0,-687.0,-13.0,1.0,0.0,2.0,2.0,1.0,0.0,8315.0,7215.0,193.0,9294.0,8347.0,205.0,-979.0,-1132.0,-12.0,2.0,0.0,3.0,3.0,3.0,0.0,10391.0,9714.0,248.0,11911.0,11155.0,265.0,-1520.0,-1441.0,-17.0,2.0,1.0,4.0,3.0,4.0,0.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Loopy,Dplus Kia Challengers,0.0,Lulu,Orianna,Azir,Rumble,Ryze,Galio,1775.0,1.0,0.0,3.0,10.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.507,0.7775,0.0,0.0,43.0,9.0,13.0,83.0,8224.0,4327.0,146.2648,6675.0,32.0,32.0,0.0,1.0817,2280.0,2633.0,16.0,2511.0,2909.0,9.0,-231.0,-276.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,3615.0,4366.0,22.0,4081.0,4552.0,16.0,-466.0,-186.0,6.0,0.0,1.0,2.0,1.0,3.0,1.0,4820.0,6117.0,26.0,5304.0,6151.0,19.0,-484.0,-34.0,7.0,0.0,3.0,3.0,1.0,6.0,2.0,5980.0,7571.0,30.0,6580.0,8037.0,28.0,-600.0,-466.0,2.0,0.0,4.0,3.0,1.0,7.0,2.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Ripple,Gen.G Global Academy,1.0,Ambessa,Poppy,Malphite,Jayce,Jarvan IV,Vi,1775.0,0.0,2.0,2.0,1.0,8.0,15.0,1.0,0.0,0.0,0.0,0.0,0.2704,0.7775,0.0,0.0,9.0,10.0,3.0,37.0,11445.0,7548.0,255.1437,11125.0,283.0,275.0,8.0,9.5662,3255.0,4976.0,86.0,3903.0,5327.0,104.0,-648.0,-351.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,4904.0,8131.0,129.0,6601.0,9563.0,166.0,-1697.0,-1432.0,-37.0,0.0,0.0,1.0,1.0,0.0,0.0,7506.0,10697.0,172.0,8484.0,12168.0,207.0,-978.0,-1471.0,-35.0,2.0,1.0,1.0,2.0,1.0,0.0,9920.0,14678.0,245.0,10306.0,15270.0,261.0,-386.0,-592.0,-16.0,2.0,1.0,1.0,2.0,1.0,0.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Courage,Gen.G Global Academy,1.0,Xin Zhao,Poppy,Malphite,Jayce,Jarvan IV,Vi,1775.0,0.0,1.0,5.0,5.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2704,0.7775,0.0,1.0,8.0,11.0,6.0,46.0,9477.0,5580.0,188.6197,9350.0,185.0,17.0,168.0,6.2535,3661.0,4027.0,80.0,3489.0,4216.0,82.0,172.0,-189.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,5581.0,6751.0,127.0,5691.0,7154.0,129.0,-110.0,-403.0,-2.0,0.0,4.0,0.0,1.0,0.0,0.0,6945.0,8212.0,150.0,7795.0,10172.0,172.0,-850.0,-1960.0,-22.0,0.0,5.0,2.0,1.0,3.0,1.0,8640.0,9864.0,175.0,10219.0,13094.0,223.0,-1579.0,-3230.0,-48.0,1.0,5.0,3.0,2.0,3.0,1.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Kemish,Gen.G Global Academy,1.0,Syndra,Poppy,Malphite,Jayce,Jarvan IV,Vi,1775.0,0.0,1.0,4.0,2.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2704,0.7775,0.0,0.0,15.0,8.0,5.0,42.0,10687.0,6790.0,229.5211,10725.0,274.0,274.0,0.0,9.262,4277.0,5383.0,101.0,3666.0,5484.0,104.0,611.0,-101.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,6029.0,8303.0,157.0,5631.0,8622.0,157.0,398.0,-319.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7817.0,11025.0,207.0,8026.0,11474.0,209.0,-209.0,-449.0,-2.0,1.0,2.0,1.0,1.0,2.0,0.0,9606.0,13494.0,255.0,10736.0,15418.0,279.0,-1130.0,-1924.0,-24.0,1.0,2.0,2.0,2.0,2.0,0.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,MUDAI,Gen.G Global Academy,1.0,Jhin,Poppy,Malphite,Jayce,Jarvan IV,Vi,1775.0,0.0,3.0,1.0,4.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2704,0.7775,0.0,0.0,10.0,3.0,5.0,17.0,13382.0,9485.0,320.6197,13075.0,297.0,297.0,0.0,10.0394,3888.0,3493.0,97.0,3332.0,3160.0,89.0,556.0,333.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,6730.0,5756.0,153.0,5944.0,5069.0,140.0,786.0,687.0,13.0,2.0,1.0,0.0,1.0,0.0,2.0,9294.0,8347.0,205.0,8315.0,7215.0,193.0,979.0,1132.0,12.0,3.0,3.0,0.0,2.0,0.0,3.0,11911.0,11155.0,265.0,10391.0,9714.0,248.0,1520.0,1441.0,17.0,3.0,4.0,0.0,2.0,1.0,4.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Red,sup,Lumos,Gen.G Global Academy,1.0,Neeko,Poppy,Malphite,Jayce,Jarvan IV,Vi,1775.0,0.0,1.0,3.0,7.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2704,0.7775,0.0,0.0,48.0,14.0,12.0,119.0,7455.0,3558.0,120.2704,6885.0,31.0,31.0,0.0,1.0479,2511.0,2909.0,9.0,2280.0,2633.0,16.0,231.0,276.0,-7.0,0.0,2.0,0.0,0.0,0.0,1.0,4081.0,4552.0,16.0,3615.0,4366.0,22.0,466.0,186.0,-6.0,1.0,3.0,1.0,0.0,1.0,2.0,5304.0,6151.0,19.0,4820.0,6117.0,26.0,484.0,34.0,-7.0,1.0,6.0,2.0,0.0,3.0,3.0,6580.0,8037.0,28.0,5980.0,7571.0,30.0,600.0,466.0,-2.0,1.0,7.0,2.0,0.0,4.0,3.0
