gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,Virtuso,Deer Gaming,0.0,Dr. Mundo,Rumble,Jayce,Ryze,Caitlyn,Neeko,2597.0,0.0,3.0,5.0,3.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2772,0.7624,0.0,0.0,12.0,8.0,3.0,56.0,15845.0,10272.0,237.32,15455.0,352.0,352.0,0.0,8.1325,3249.0,4994.0,84.0,3762.0,5326.0,94.0,-513.0,-332.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,5150.0,8032.0,126.0,6250.0,8829.0,139.0,-1100.0,-797.0,-13.0,1.0,0.0,2.0,1.0,2.0,0.0,7421.0,11165.0,162.0,8280.0,12206.0,197.0,-859.0,-1041.0,-35.0,2.0,1.0,2.0,1.0,2.0,0.0,9370.0,14302.0,213.0,10210.0,15472.0,243.0,-840.0,-1170.0,-30.0,3.0,1.0,3.0,1.0,4.0,0.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Exile1,Deer Gaming,0.0,Xin Zhao,Rumble,Jayce,Ryze,Caitlyn,Neeko,2597.0,0.0,2.0,8.0,7.0,12.0,21.0,0.0,0.0,0.0,0.0,1.0,0.2772,0.7624,1.0,0.0,15.0,13.0,11.0,69.0,14978.0,9405.0,217.2892,13625.0,279.0,41.0,238.0,6.4459,3814.0,4183.0,76.0,3868.0,3869.0,73.0,-54.0,314.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,5857.0,6522.0,113.0,5991.0,6516.0,114.0,-134.0,6.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,8239.0,9686.0,168.0,7658.0,8764.0,147.0,581.0,922.0,21.0,2.0,3.0,3.0,2.0,4.0,2.0,9752.0,11411.0,195.0,9595.0,11105.0,176.0,157.0,306.0,19.0,2.0,5.0,4.0,3.0,5.0,3.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Scuffed,Deer Gaming,0.0,Ahri,Rumble,Jayce,Ryze,Caitlyn,Neeko,2597.0,0.0,3.0,4.0,2.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2772,0.7624,0.0,0.0,18.0,7.0,3.0,42.0,15310.0,9737.0,224.9596,14075.0,334.0,330.0,4.0,7.7166,3065.0,4717.0,77.0,4504.0,5110.0,98.0,-1439.0,-393.0,-21.0,0.0,0.0,1.0,2.0,0.0,0.0,5162.0,7032.0,120.0,6554.0,8060.0,159.0,-1392.0,-1028.0,-39.0,1.0,0.0,1.0,2.0,0.0,0.0,7452.0,9379.0,167.0,8583.0,10529.0,204.0,-1131.0,-1150.0,-37.0,2.0,0.0,1.0,2.0,2.0,1.0,8948.0,11398.0,206.0,10629.0,13099.0,239.0,-1681.0,-1701.0,-33.0,2.0,2.0,2.0,3.0,4.0,1.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,Yakkey,Deer Gaming,0.0,Yunara,Rumble,Jayce,Ryze,Caitlyn,Neeko,2597.0,0.0,4.0,3.0,5.0,12.0,21.0,0.0,0.0,0.0,0.0,1.0,0.2772,0.7624,0.0,1.0,18.0,12.0,4.0,54.0,22722.0,17149.0,396.2033,22660.0,476.0,455.0,21.0,10.9973,3859.0,3680.0,92.0,2902.0,2684.0,65.0,957.0,996.0,27.0,1.0,1.0,0.0,0.0,0.0,2.0,7587.0,6509.0,153.0,4512.0,4858.0,111.0,3075.0,1651.0,42.0,2.0,3.0,0.0,0.0,0.0,3.0,9938.0,8909.0,203.0,8261.0,7567.0,162.0,1677.0,1342.0,41.0,2.0,3.0,1.0,2.0,0.0,3.0,12849.0,11493.0,269.0,11459.0,10581.0,224.0,1390.0,912.0,45.0,3.0,4.0,1.0,3.0,1.0,3.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Blue,sup,uden,Deer Gaming,0.0,Lulu,Rumble,Jayce,Ryze,Caitlyn,Neeko,2597.0,0.0,0.0,1.0,11.0,12.0,21.0,0.0,0.0,0.0,0.0,1.0,0.2772,0.7624,0.0,0.0,82.0,19.0,12.0,185.0,10382.0,4809.0,111.1051,9240.0,30.0,30.0,0.0,0.6931,2533.0,3135.0,7.0,2606.0,2698.0,13.0,-73.0,437.0,-6.0,0.0,2.0,0.0,0.0,1.0,0.0,3862.0,4663.0,15.0,3797.0,3783.0,17.0,65.0,880.0,-2.0,0.0,5.0,0.0,0.0,3.0,2.0,5351.0,5727.0,19.0,4902.0,4924.0,19.0,449.0,803.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,6405.0,7439.0,21.0,6218.0,6729.0,22.0,187.0,710.0,-1.0,0.0,9.0,0.0,0.0,8.0,3.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Leks,Bulldog Esports,1.0,Jax,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,4.0,0.0,7.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,0.0,18.0,5.0,4.0,49.0,19573.0,14000.0,323.4501,18550.0,425.0,413.0,12.0,9.819,3762.0,5326.0,94.0,3249.0,4994.0,84.0,513.0,332.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,6250.0,8829.0,139.0,5150.0,8032.0,126.0,1100.0,797.0,13.0,1.0,2.0,0.0,1.0,0.0,2.0,8280.0,12206.0,197.0,7421.0,11165.0,162.0,859.0,1041.0,35.0,1.0,2.0,0.0,2.0,1.0,2.0,10210.0,15472.0,243.0,9370.0,14302.0,213.0,840.0,1170.0,30.0,1.0,4.0,0.0,3.0,1.0,3.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Noodle,Bulldog Esports,1.0,Wukong,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,4.0,3.0,11.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,1.0,8.0,16.0,6.0,64.0,15980.0,10407.0,240.439,15408.0,285.0,16.0,269.0,6.5845,3868.0,3869.0,73.0,3814.0,4183.0,76.0,54.0,-314.0,-3.0,1.0,1.0,0.0,1.0,0.0,1.0,5991.0,6516.0,114.0,5857.0,6522.0,113.0,134.0,-6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,7658.0,8764.0,147.0,8239.0,9686.0,168.0,-581.0,-922.0,-21.0,2.0,4.0,2.0,2.0,3.0,3.0,9595.0,11105.0,176.0,9752.0,11411.0,195.0,-157.0,-306.0,-19.0,3.0,5.0,3.0,2.0,5.0,4.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Hunt,Bulldog Esports,1.0,Orianna,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,5.0,2.0,11.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,0.0,16.0,1.0,4.0,36.0,18478.0,12905.0,298.1517,17300.0,356.0,353.0,3.0,8.2249,4504.0,5110.0,98.0,3065.0,4717.0,77.0,1439.0,393.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,6554.0,8060.0,159.0,5162.0,7032.0,120.0,1392.0,1028.0,39.0,2.0,0.0,0.0,1.0,0.0,1.0,8583.0,10529.0,204.0,7452.0,9379.0,167.0,1131.0,1150.0,37.0,2.0,2.0,1.0,2.0,0.0,1.0,10629.0,13099.0,239.0,8948.0,11398.0,206.0,1681.0,1701.0,33.0,3.0,4.0,1.0,2.0,2.0,2.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,Syzyfek,Bulldog Esports,1.0,Xayah,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,8.0,3.0,4.0,21.0,12.0,2.0,0.0,0.0,0.0,0.0,0.4852,0.7624,1.0,0.0,15.0,9.0,2.0,44.0,23694.0,18121.0,418.66,21650.0,437.0,405.0,32.0,10.0963,2902.0,2684.0,65.0,3859.0,3680.0,92.0,-957.0,-996.0,-27.0,0.0,0.0,2.0,1.0,1.0,0.0,4512.0,4858.0,111.0,7587.0,6509.0,153.0,-3075.0,-1651.0,-42.0,0.0,0.0,3.0,2.0,3.0,0.0,8261.0,7567.0,162.0,9938.0,8909.0,203.0,-1677.0,-1342.0,-41.0,2.0,0.0,3.0,2.0,3.0,1.0,11459.0,10581.0,224.0,12849.0,11493.0,269.0,-1390.0,-912.0,-45.0,3.0,1.0,3.0,3.0,4.0,1.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Kasing,Bulldog Esports,1.0,Rakan,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,0.0,4.0,19.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,0.0,90.0,19.0,12.0,203.0,11016.0,5443.0,125.7528,9820.0,37.0,37.0,0.0,0.8548,2606.0,2698.0,13.0,2533.0,3135.0,7.0,73.0,-437.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,3797.0,3783.0,17.0,3862.0,4663.0,15.0,-65.0,-880.0,2.0,0.0,3.0,2.0,0.0,5.0,0.0,4902.0,4924.0,19.0,5351.0,5727.0,19.0,-449.0,-803.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,6218.0,6729.0,22.0,6405.0,7439.0,21.0,-187.0,-710.0,1.0,0.0,8.0,3.0,0.0,9.0,0.0
